ensembl_id,uniprot_id
ENSEMBL:ENSG00000197766,UniProtKB:P00746
ENSEMBL:ENSG00000104870,UniProtKB:P55899
ENSEMBL:ENSG00000154736,UniProtKB:Q9UNA0
ENSEMBL:ENSG00000100519,UniProtKB:P62333
ENSEMBL:ENSG00000118194,UniProtKB:Q15607
ENSEMBL:ENSG00000026508,UniProtKB:P16070
ENSEMBL:ENSG00000102393,UniProtKB:Q53Y83
ENSEMBL:ENSG00000160867,UniProtKB:P22455
ENSEMBL:ENSG00000248333,UniProtKB:P21127
ENSEMBL:ENSG00000105697,UniProtKB:P81172
ENSEMBL:ENSG00000169432,UniProtKB:Q15858
ENSEMBL:ENSG00000168539,UniProtKB:Q53XZ3
ENSEMBL:ENSG00000108671,UniProtKB:O00231
ENSEMBL:ENSG00000148120,UniProtKB:Q8N6M6
ENSEMBL:ENSG00000163235,UniProtKB:P01135
ENSEMBL:ENSG00000197386,UniProtKB:P42858
ENSEMBL:ENSG00000196411,UniProtKB:Q96L35
ENSEMBL:ENSG00000162891,UniProtKB:Q9NYY1
ENSEMBL:ENSG00000163285,UniProtKB:Q8N1C3
ENSEMBL:ENSG00000108556,UniProtKB:Q04844
ENSEMBL:ENSG00000167325,UniProtKB:P23921
ENSEMBL:ENSG00000204262,UniProtKB:P05997
ENSEMBL:ENSG00000163682,UniProtKB:Q53Z07
ENSEMBL:ENSG00000265681,UniProtKB:P18621
ENSEMBL:ENSG00000197565,UniProtKB:Q14031
ENSEMBL:ENSG00000157219,UniProtKB:P47898
ENSEMBL:ENSG00000274286,UniProtKB:P18089
ENSEMBL:ENSG00000136810,UniProtKB:P10599
ENSEMBL:ENSG00000111275,UniProtKB:P05091
ENSEMBL:ENSG00000171858,UniProtKB:Q6FGH5
ENSEMBL:ENSG00000187486,UniProtKB:Q14654
ENSEMBL:ENSG00000205560,UniProtKB:Q92523
ENSEMBL:ENSG00000178057,UniProtKB:Q9Y3Z0
ENSEMBL:ENSG00000109390,UniProtKB:O43677
ENSEMBL:ENSG00000171557,UniProtKB:P02679
ENSEMBL:ENSG00000163932,UniProtKB:Q05655
ENSEMBL:ENSG00000142541,UniProtKB:Q8J015
ENSEMBL:ENSG00000120899,UniProtKB:Q14289
ENSEMBL:ENSG00000006116,UniProtKB:O60359
ENSEMBL:ENSG00000137731,UniProtKB:P54710
ENSEMBL:ENSG00000106128,UniProtKB:Q02643
ENSEMBL:ENSG00000166851,UniProtKB:P53350
ENSEMBL:ENSG00000162244,UniProtKB:P47914
ENSEMBL:ENSG00000142875,UniProtKB:P22694
ENSEMBL:ENSG00000101916,UniProtKB:Q9NR97
ENSEMBL:ENSG00000166136,UniProtKB:O95169
ENSEMBL:ENSG00000133256,UniProtKB:P35913
ENSEMBL:ENSG00000006071,UniProtKB:Q09428
ENSEMBL:ENSG00000059758,UniProtKB:Q00537
ENSEMBL:ENSG00000132671,UniProtKB:P31391
ENSEMBL:ENSG00000175482,UniProtKB:Q9HCU8
ENSEMBL:ENSG00000139180,UniProtKB:Q16795
ENSEMBL:ENSG00000139625,UniProtKB:Q12852
ENSEMBL:ENSG00000165731,UniProtKB:P07949
ENSEMBL:ENSG00000070915,UniProtKB:P55017
ENSEMBL:ENSG00000155511,UniProtKB:Q59GL5
ENSEMBL:ENSG00000019991,UniProtKB:P14210
ENSEMBL:ENSG00000105366,UniProtKB:Q9NYZ4
ENSEMBL:ENSG00000163394,UniProtKB:P32238
ENSEMBL:ENSG00000112115,UniProtKB:Q16552
ENSEMBL:ENSG00000048052,UniProtKB:Q9UKV0
ENSEMBL:ENSG00000129749,UniProtKB:Q9GZZ6
ENSEMBL:ENSG00000136573,UniProtKB:Q05D26
ENSEMBL:ENSG00000139626,UniProtKB:P26010
ENSEMBL:ENSG00000205268,UniProtKB:Q13946
ENSEMBL:ENSG00000164082,UniProtKB:Q14416
ENSEMBL:ENSG00000048462,UniProtKB:Q02223
ENSEMBL:ENSG00000131724,UniProtKB:P78552
ENSEMBL:ENSG00000158125,UniProtKB:P47989
ENSEMBL:ENSG00000122641,UniProtKB:P08476
ENSEMBL:ENSG00000165025,UniProtKB:P43405
ENSEMBL:ENSG00000196739,UniProtKB:Q8IZC6
ENSEMBL:ENSG00000163636,UniProtKB:Q15008
ENSEMBL:ENSG00000170214,UniProtKB:P35368
ENSEMBL:ENSG00000189221,UniProtKB:Q53YE7
ENSEMBL:ENSG00000001626,UniProtKB:P13569
ENSEMBL:ENSG00000005961,UniProtKB:P08514
ENSEMBL:ENSG00000050628,UniProtKB:P43115
ENSEMBL:ENSG00000126262,UniProtKB:O15552
ENSEMBL:ENSG00000139572,UniProtKB:Q9NQS5
ENSEMBL:ENSG00000142208,UniProtKB:P31749
ENSEMBL:ENSG00000101336,UniProtKB:P08631
ENSEMBL:ENSG00000173692,UniProtKB:Q99460
ENSEMBL:ENSG00000250506,UniProtKB:Q00526
ENSEMBL:ENSG00000138823,UniProtKB:P55157
ENSEMBL:ENSG00000198822,UniProtKB:Q14832
ENSEMBL:ENSG00000126067,UniProtKB:P49721
ENSEMBL:ENSG00000117362,UniProtKB:Q96BI3
ENSEMBL:ENSG00000104687,UniProtKB:V9HW90
ENSEMBL:ENSG00000123374,UniProtKB:P24941
ENSEMBL:ENSG00000142677,UniProtKB:Q8N6P7
ENSEMBL:ENSG00000184983,UniProtKB:P56556
ENSEMBL:ENSG00000065675,UniProtKB:Q04759
ENSEMBL:ENSG00000182175,UniProtKB:Q96B86
